약국 이름,주소,경도,위도
녹십자약국,전라남도 신안군 흑산면 예리1길 68-4 (흑산면),125.4443382,34.6845328
세명약국,전라남도 신안군 비금면 송치길 155-19 (비금면),125.9327628,34.7212122
신안약국,전라남도 신안군 자은면 구영2길 46 (자은면),126.0454973,34.8845024
조도밝은약국,전라남도 진도군 조도면 창유2길 6 (조도면),126.0469538,34.2978166
유한약국,전라남도 신안군 임자면 임자로 146 (임자면),126.1071864,35.0864667
구영약국,전라남도 신안군 암태면 중부로 1820-4 1820,126.1145745,34.8289262
대창약국,전라남도 신안군 안좌면 중부로 852 (자은면),126.1253444,34.7544792
신진도약국,충청남도 태안군 근흥면 신진부두길 78 (),126.136911,36.6791214
우리들약국,전라남도 진도군 지산면 지산로 1182 (지산면),126.1660303,34.424622
장수약국,제주특별자치도 제주시 한경면 고산로 16 (한경면),126.1797624,33.302404
차귀도약국,제주특별자치도 제주시 한경면 고산로 8 (한경면),126.1798143,33.3016652
신창약국,제주특별자치도 제주시 한경면 두신로 75 (),126.182807,33.3498487
사거리약국,전라남도 진도군 임회면 십일시길 39 1호,126.1922659,34.4091998
매정약국,전라남도 진도군 임회면 십일시길 47-1 (임회면),126.1930204,34.4092464
만리포약국,충청남도 태안군 소원면 신덕길 10 (),126.1947329,36.7587347
지도행복약국,전라남도 신안군 지도읍 봉리길 3 (),126.2104262,35.0596505
대일약국,전라남도 신안군 지도읍 봉리길 9 (지도읍),126.2107422,35.0599992
지도중앙약국,전라남도 신안군 지도읍 봉리길 16-1 (지도읍),126.2113431,35.0605919
시계탑약국,제주특별자치도 서귀포시 대정읍 하모이삼로 34-4 (시계탑약국),126.2512308,33.2233204
메디팜현대약국,제주특별자치도 서귀포시 대정읍 하모상가로 27 27,126.25174,33.2216453
대정온누리약국,제주특별자치도 서귀포시 대정읍 하모중앙로 76 1층 3호,126.2518125,33.2213862
대정송약국,제주특별자치도 서귀포시 대정읍 하모상가로 46 1층 (경원빌딩),126.2537062,33.2216061
프라자약국,제주특별자치도 서귀포시 대정읍 신영로 109 (대정읍),126.2538996,33.2217467
건강약국,제주특별자치도 서귀포시 대정읍 하모상가로 51-1 (대정읍),126.2541048,33.2221508
서울약국,제주특별자치도 서귀포시 대정읍 하모상가로 325 (),126.2546647,33.2221254
삼성약국,제주특별자치도 서귀포시 대정읍 상모로 321 (모슬포약국),126.2551625,33.2223087
만선당약국,충청남도 태안군 원북면 원이로 840 (),126.2582887,36.8238526
